X,Y,LAT,LONG,FC,DSG,SORT_NAME_,FULL_NAME_,FULL_NAM_1,SORT_NAM_1,FULL_NAM_2,FULL_NAM_3,NOTE,ADM1_1,ADM2,ADM3,NO_ADM4,ID_ADM4,NOM_ADM4,ADM4,bbox
-72.533333,18.466667,18.466667,-72.533333,P,PPL,LATONNELLE,La Tonnelle,La Tonnelle,LATONNELLE,La Tonnelle,La Tonnelle,,Ouest,Léogâne,LEOGANE,6,121-04,6ème Oranger,ORANGERS,"(4:-72.55966745898587,18.41734812841355,-72.4943937223922,...)"
-71.883333,18.666667,18.666667,-71.883333,P,PPL,LATOISON,La Toison,La Toison,LATOISON,La Toison,La Toison,,Ouest,Croix des Bouquets,CORNILLON / GRD BOIS,2,134-04,2ème Boucan Bois Pin,BOUCAN BOIS PIN,"(4:-71.92406913338363,18.62707730417441,-71.80693871415019,...)"
-71.816667,18.666667,18.666667,-71.816667,P,PPL,LATOISON,La Toison,La Toison,LATOISON,La Toison,La Toison,,Ouest,Croix des Bouquets,CORNILLON / GRD BOIS,1,134-03,1ère Boucan Bois Pin,BOUCAN BOIS PIN,"(4:-71.90000446703237,18.64229527930388,-71.80161935734731,...)"
-71.85,19.05,19.05,-71.85,P,PPL,MATELGATE,Matelgate,Matelgate,MATELGATE,Matelgate,Matelgate,,Centre,Cerca La Source,THOMASSIQUE,1,642-01,1ère Matelgate,MATELGATE,"(4:-71.91972141670988,18.98172196369785,-71.7854983082002,...)"
-71.85,19.033333,19.033333,-71.85,P,PPL,MATELGATE,Matelgate,Matelgate,MATELGATE,Matelgate,Matelgate,,Centre,Cerca La Source,THOMASSIQUE,1,642-01,1ère Matelgate,MATELGATE,"(4:-71.91972141670988,18.98172196369785,-71.7854983082002,...)"
-71.75,19.466667,19.466667,-71.75,P,PPL,SENCE,Sencé,Sence,SENCE,Sencé,Sence,,Nord-Est,Ouanaminte,OUANAMINTHE,3,421-03,3ème Savane Longue,SAVANE LONGUE,"(4:-71.78069904372575,19.4400241163201,-71.70426756329726,...)"
-73.5,18.316667,18.316667,-73.5,P,PPL,SENAILLE,Sénaille,Senaille,SENAILLE,Sénaille,Senaille,,Sud,Aquin,ST. LOUIS DU SUD,7,732-07,7ème Cherette,CHERETTE,"(4:-73.53922183432002,18.28041229229359,-73.44163223613862,...)"
-71.9,18.816667,18.816667,-71.9,P,PPL,SENADOR,Sénador,Senador,SENADOR,Sénador,Senador,,Centre,Lascahobas,LASCAHOBAS,2,631-02,2ème Juampas,JUAMPAS,"(4:-71.97649855016778,18.76604661086259,-71.85717527262057,...)"
-73.483333,18.316667,18.316667,-73.483333,P,PPL,SEMAILLE,Semaille,Semaille,SEMAILLE,Semaille,Semaille,,Sud,Aquin,ST. LOUIS DU SUD,7,732-07,7ème Cherette,CHERETTE,"(4:-73.53922183432002,18.28041229229359,-73.44163223613862,...)"
-72.716667,18.3,18.3,-72.716667,P,PPL,SEJOURNE,Séjourné,Sejourne,SEJOURNE,Séjourné,Sejourne,,Sud-Est,Jacmel,LA VALLEE,3,214-01,11 ème La Vallée,LA VALLEE,"(4:-72.78269231170066,18.18946702838082,-72.63033955422691,...)"
-72.633333,19.0,19,-72.633333,P,PPL,ROBION,Robion,Robion,ROBION,Robion,Robion,,Artibonite,Saint-Marc,SAINT-MARC,3,531-03,3ème Goyavier,GOYAVIER,"(4:-72.67029543628519,18.98898818185927,-72.57946063070341,...)"
-71.783333,19.566667,19.566667,-71.783333,P,PPL,ROBINO,Robino,Robino,ROBINO,Robino,Robino,,Nord-Est,Ouanaminte,OUANAMINTHE,1,421-01,1ère Haut Maribahoux,HAUT MARIBAHOUX,"(4:-71.82459339157163,19.52132878279724,-71.71194023815133,...)"
